Date,SLV,SPY,DJIA
4/14,1.73611,2.949287123,2.389789867
4/15,-1.09215,-2.12481018,-1.859768801
4/16,0.13803,0.482429418,0.141803881
4/17,-2.48105,2.701543833,2.994392605
4/20,0.77739,-1.761798331,-2.44220282
4/21,-2.66480,-3.036324842,-2.670388393
4/22,1.51297,2.219453853,1.985063708
4/23,0.85167,-0.007172698,0.168000349
4/24,0.00000,1.39387064,1.105706518
4/27,0.00000,1.44184436,1.507910434
4/28,-0.77410,-0.459842207,-0.133541123
4/29,1.27660,2.617848918,2.208607259
4/30,-2.10084,-0.9310665,-1.169685495
5/1,-0.42918,-2.647342918,-2.554992139
5/4,-1.07759,0.275822333,0.109891508
5/5,1.16195,0.92393234,0.561395447
5/6,-0.07179,-0.677872038,-0.914660588
5/7,2.44253,1.206681794,0.892682054
5/8,1.26227,1.654619409,1.907487712
5/11,0.00000,0.020516345,-0.449338871
5/12,-0.13850,-1.993157949,-1.887586138
5/13,0.90153,-1.768586448,-2.174682935
5/14,1.78694,1.196731153,1.623234754
5/15,4.72654,0.459696809,0.254303559
5/18,1.80529,3.045969341,3.850255656
5/19,2.40659,-1.027118305,-1.587607836
5/20,1.17502,1.698801926,1.52453073
5/21,-2.44499,-0.690394385,-0.414150645
5/22,0.50126,0.189906739,-0.036605934
5/26,-0.43642,1.23205557,2.166138364
5/27,1.12711,1.487900292,2.213073532
5/28,0.24768,-0.184495108,-0.57784305
5/29,2.90302,0.445590651,-0.069018929
6/1,2.64106,0.404173558,0.36209177
6/2,-1.52047,0.82801476,1.050561942
6/3,-2.13777,1.330825167,2.04811949
6/4,0.36408,-0.262671542,0.04541199
6/5,-2.05562,2.562953297,3.154881017
6/8,2.40740,1.208748058,1.702110997
6/9,-1.02471,-0.745669217,-1.088545939
6/10,3.28867,-0.558000234,-1.035154871
6/11,-3.06603,-5.764894984,-6.898188158
6/12,-0.97324,1.197567007,1.899736994
6/15,-0.30713,0.93356467,0.61557423
6/16,0.18484,1.924769005,2.044859042
6/17,0.43050,-0.415384406,-0.648045708
6/18,-0.73485,0.038501893,-0.151264781
6/19,1.72734,-1.007115277,-0.799991845
6/22,0.06064,0.641517595,0.593317866
6/23,1.57576,0.460367337,0.503895742
6/24,-2.86396,-2.550870792,-2.715084323
6/25,1.90417,1.07205434,1.177634493
6/26,0.24110,-2.375148156,-2.835625664
6/29,0.12027,1.469756099,2.319557163
6/30,2.16216,1.280954515,0.848108179
7/1,-1.11699,0.70048129,-0.301826675
7/2,-0.65399,0.550696271,0.359000525
7/6,2.03471,1.543726365,1.779779006
7/7,-0.23460,-1.031379632,-1.509678425
7/8,2.82187,0.764865195,0.684041641
7/9,-0.62894,-0.569292188,-1.385604749
7/10,0.28769,1.02105444,1.436278105
7/13,1.72117,-0.865896292,0.040267992
7/14,1.35363,1.295901744,2.134452627
7/15,1.11297,0.918723467,0.853932637
7/16,-2.14639,-0.32934503,-0.50386367
7/17,1.29358,0.289906784,-0.234757429
7/20,2.88729,0.808158023,0.033443075
7/21,6.15218,0.212753757,0.597923738
7/22,8.99848,0.569205545,0.616382198
7/23,-1.91231,-1.193169607,-1.309012281
7/24,0.85591,-0.644038289,-0.684515948
7/27,7.63791,0.729243319,0.433998393
7/28,-0.26281,-0.634239216,-0.77296224
7/29,-0.87835,1.229872603,0.607639838
7/30,-3.58883,-0.356792574,-0.851256887
7/31,4.09007,0.79022042,0.435781119
8/3,0.39735,0.695216243,0.893284466
8/4,6.64028,0.386261433,0.615315955
8/5,3.29896,0.621095259,1.390496067
8/6,7.30539,0.668453856,0.681803602
8/7,-2.56696,0.071791347,0.169788707
8/10,3.09278,0.298891108,1.30482525
8/11,-13.59259,-0.8254668,-0.37612046
8/12,0.38577,1.394235026,1.047172394
8/13,8.66781,-0.180777322,-0.286376662
8/14,-3.41847,0.002971529,0.122949326
8/17,4.23109,0.317660614,-0.308292971
8/18,1.01482,0.216037108,-0.240043331
8/19,-3.86399,-0.416372531,-0.30667879
8/20,2.93409,0.311356631,0.169175646
8/21,-2.77236,0.35473927,0.687099719
8/24,-1.20482,1.013315037,1.353835987
8/25,0.65041,0.349930583,-0.21202668
8/26,3.27141,1.002560749,0.295522413
8/27,-1.60344,0.218655231,0.565968033
8/28,1.78856,0.64593922,0.567170017
8/31,2.42093,-0.362253707,-0.781110428
9/1,-0.34312,0.941859099,0.75838549
9/2,-2.25708,1.446399862,1.587814131
9/3,-3.17025,-3.441430413,-2.775792615
